company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
Parker Hannifin,PH,Industrials,PH,USD,NYSE/NASDAQ,US,SP500,False,
Paychex,PAYX,Industrials,PAYX,USD,NYSE/NASDAQ,US,SP500,False,
PayPal,PYPL,Financials,PYPL,USD,NYSE/NASDAQ,US,SP500,False,
Pentair,PNR,Industrials,PNR,USD,NYSE/NASDAQ,US,SP500,False,
PepsiCo,PEP,Consumer Staples,PEP,USD,NYSE/NASDAQ,US,SP500,False,
Pfizer,PFE,Health Care,PFE,USD,NYSE/NASDAQ,US,SP500,False,
PG&E Corporation,PCG,Utilities,PCG,USD,NYSE/NASDAQ,US,SP500,False,
Philip Morris International,PM,Consumer Staples,PM,USD,NYSE/NASDAQ,US,SP500,False,
Phillips 66,PSX,Energy,PSX,USD,NYSE/NASDAQ,US,SP500,False,
Pinnacle West Capital,PNW,Utilities,PNW,USD,NYSE/NASDAQ,US,SP500,False,
PNC Financial Services,PNC,Financials,PNC,USD,NYSE/NASDAQ,US,SP500,False,
Pool Corporation,POOL,Consumer Discretionary,POOL,USD,NYSE/NASDAQ,US,SP500,False,
PPG Industries,PPG,Materials,PPG,USD,NYSE/NASDAQ,US,SP500,False,
PPL Corporation,PPL,Utilities,PPL,USD,NYSE/NASDAQ,US,SP500,False,
Principal Financial Group,PFG,Financials,PFG,USD,NYSE/NASDAQ,US,SP500,False,
Procter & Gamble,PG,Consumer Staples,PG,USD,NYSE/NASDAQ,US,SP500,False,
Progressive Corporation,PGR,Financials,PGR,USD,NYSE/NASDAQ,US,SP500,False,
Prologis,PLD,Real Estate,PLD,USD,NYSE/NASDAQ,US,SP500,False,
Prudential Financial,PRU,Financials,PRU,USD,NYSE/NASDAQ,US,SP500,False,
Public Service Enterprise Group,PEG,Utilities,PEG,USD,NYSE/NASDAQ,US,SP500,False,
PTC Inc.,PTC,Information Technology,PTC,USD,NYSE/NASDAQ,US,SP500,False,
Public Storage,PSA,Real Estate,PSA,USD,NYSE/NASDAQ,US,SP500,False,
PulteGroup,PHM,Consumer Discretionary,PHM,USD,NYSE/NASDAQ,US,SP500,False,
Quanta Services,PWR,Industrials,PWR,USD,NYSE/NASDAQ,US,SP500,False,
Qualcomm,QCOM,Information Technology,QCOM,USD,NYSE/NASDAQ,US,SP500,False,
Quest Diagnostics,DGX,Health Care,DGX,USD,NYSE/NASDAQ,US,SP500,False,
Qnity Electronics,Q,Information Technology,Q,USD,NYSE/NASDAQ,US,SP500,False,
Ralph Lauren Corporation,RL,Consumer Discretionary,RL,USD,NYSE/NASDAQ,US,SP500,False,
Raymond James Financial,RJF,Financials,RJF,USD,NYSE/NASDAQ,US,SP500,False,
RTX Corporation,RTX,Industrials,RTX,USD,NYSE/NASDAQ,US,SP500,False,
Realty Income,O,Real Estate,O,USD,NYSE/NASDAQ,US,SP500,False,
Regency Centers,REG,Real Estate,REG,USD,NYSE/NASDAQ,US,SP500,False,
Regeneron Pharmaceuticals,REGN,Health Care,REGN,USD,NYSE/NASDAQ,US,SP500,False,
Regions Financial Corporation,RF,Financials,RF,USD,NYSE/NASDAQ,US,SP500,False,
Republic Services,RSG,Industrials,RSG,USD,NYSE/NASDAQ,US,SP500,False,
ResMed,RMD,Health Care,RMD,USD,NYSE/NASDAQ,US,SP500,False,
Revvity,RVTY,Health Care,RVTY,USD,NYSE/NASDAQ,US,SP500,False,
Robinhood Markets,HOOD,Financials,HOOD,USD,NYSE/NASDAQ,US,SP500,False,
Rockwell Automation,ROK,Industrials,ROK,USD,NYSE/NASDAQ,US,SP500,False,
"Rollins, Inc.",ROL,Industrials,ROL,USD,NYSE/NASDAQ,US,SP500,False,
Roper Technologies,ROP,Information Technology,ROP,USD,NYSE/NASDAQ,US,SP500,False,
Ross Stores,ROST,Consumer Discretionary,ROST,USD,NYSE/NASDAQ,US,SP500,False,
Royal Caribbean Group,RCL,Consumer Discretionary,RCL,USD,NYSE/NASDAQ,US,SP500,False,
S&P Global,SPGI,Financials,SPGI,USD,NYSE/NASDAQ,US,SP500,False,
Salesforce,CRM,Information Technology,CRM,USD,NYSE/NASDAQ,US,SP500,False,
Sandisk,SNDK,Information Technology,SNDK,USD,NYSE/NASDAQ,US,SP500,False,
SBA Communications,SBAC,Real Estate,SBAC,USD,NYSE/NASDAQ,US,SP500,False,
Schlumberger,SLB,Energy,SLB,USD,NYSE/NASDAQ,US,SP500,False,
Seagate Technology,STX,Information Technology,STX,USD,NYSE/NASDAQ,US,SP500,False,
Sempra,SRE,Utilities,SRE,USD,NYSE/NASDAQ,US,SP500,False,
ServiceNow,NOW,Information Technology,NOW,USD,NYSE/NASDAQ,US,SP500,False,
Sherwin-Williams,SHW,Materials,SHW,USD,NYSE/NASDAQ,US,SP500,False,
Simon Property Group,SPG,Real Estate,SPG,USD,NYSE/NASDAQ,US,SP500,False,
